,Borough,Neighbourhood,Latitude,Longitude
0,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001
1,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.16049709999999
2,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
3,Scarborough,Woburn,43.7709921,-79.21691740000001
4,Scarborough,Cedarbrae,43.773136,-79.23947609999999
5,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
6,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002
7,Scarborough,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772
8,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.23947609999999
9,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481
10,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001
11,Scarborough,"Maryvale, Wexford",43.750071500000004,-79.2958491
12,Scarborough,Agincourt,43.7942003,-79.26202940000002
13,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021
14,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772
15,Scarborough,L'Amoreaux West,43.799525200000005,-79.3183887
16,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999
17,North York,Hillcrest Village,43.8037622,-79.3634517
18,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
19,North York,Bayview Village,43.7869473,-79.385975
20,North York,"Silver Hills, York Mills",43.7574902,-79.37471409999999
21,North York,"Newtonbrook, Willowdale",43.789053,-79.40849279999999
22,North York,Willowdale South,43.7701199,-79.40849279999999
23,North York,York Mills West,43.752758299999996,-79.4000493
24,North York,Willowdale West,43.7827364,-79.4422593
25,North York,Parkwoods,43.7532586,-79.3296565
26,North York,Don Mills North,43.745905799999996,-79.352188
27,North York,"Flemingdon Park, Don Mills South",43.72589970000001,-79.340923
28,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593
29,North York,"Northwood Park, York University",43.7679803,-79.48726190000001
30,North York,"CFB Toronto, Downsview East",43.737473200000004,-79.46476329999999
31,North York,Downsview West,43.7390146,-79.5069436
32,North York,Downsview Central,43.7284964,-79.49569740000001
33,North York,Downsview Northwest,43.7616313,-79.52099940000001
34,North York,Victoria Village,43.725882299999995,-79.31557159999998
35,East York,"Woodbine Gardens, Parkview Hill",43.7063972,-79.309937
36,East York,Woodbine Heights,43.695343900000005,-79.3183887
37,East Toronto,The Beaches,43.67635739999999,-79.2930312
38,East York,Leaside,43.7090604,-79.3634517
39,East York,Thorncliffe Park,43.7053689,-79.34937190000001
40,East York,East Toronto,43.685347,-79.3381065
41,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
42,East Toronto,"The Beaches West, India Bazaar",43.6689985,-79.31557159999998
43,East Toronto,Studio District,43.6595255,-79.340923
44,Central Toronto,Lawrence Park,43.7280205,-79.3887901
45,Central Toronto,Davisville North,43.7127511,-79.3901975
46,Central Toronto,North Toronto West,43.7153834,-79.40567840000001
47,Central Toronto,Davisville,43.7043244,-79.3887901
48,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001
